all,dev,istqb,ieee,istqb_dev,ieee_dev,mocks_imports,use_mock,without_mock_istqb,without_mock_ieee,mock_cutoff_istqb,mock_cutoff_ieee,revision_hash
15,9,3,3,2,2,3,3,0,0,0,0,aa047160b7585bbb199c885eac9a68e6a303066d
15,9,3,3,2,2,3,3,0,0,0,0,24b16d61594b5125471bd6eb061b089abdaf19c7
15,9,3,3,2,2,3,3,0,0,0,0,cbf243f213c60fd45a9090c5ad85d7428c62e240
15,9,3,3,2,2,3,3,0,0,0,0,66a327311a8aded4abd2708afd866a90d2f879f1
15,9,3,3,2,2,3,3,0,0,0,0,1ada9d93e33aff41ae997e9cfd4c8dc39dc5ee04
15,9,3,3,2,2,3,3,0,0,0,0,34439671a7eacc03611e9867e1c2c8c180677954
15,9,3,3,2,2,3,3,0,0,0,0,179f417dce38acb927897ab6d00f6733c8e9fdb8
15,9,3,3,2,2,3,3,0,0,0,0,3b344314a9b8967c46db0e127a974b40a7e9e668
15,9,3,3,2,2,3,3,0,0,0,0,19e00e4217b2879975b63c60829606596130dc72
15,9,3,3,2,2,3,3,0,0,0,0,8f1693fbc1207fa22921c980b729c8be51b82374
15,9,3,3,2,2,3,3,0,0,0,0,7c603d8087fb30f11ac54a00d537fa6c1f14ad08
15,9,3,3,2,2,3,3,0,0,0,0,83a1bbc4826057bde1370afc093c6ab43da5c8cb
15,9,3,3,2,2,3,3,0,0,0,0,c457eb4312dd07d64a2de030c6f62ac5d61c959c
15,9,3,3,2,2,3,3,0,0,0,0,2e38844b13f06d3235538dfe4dc0fe80cf6e1251
15,9,3,3,2,2,3,3,0,0,0,0,226935ac38a11e54946571891540975b2368769e
15,9,3,3,2,2,3,3,0,0,0,0,21835b54a0df693c506df5a419a1198c2bb8fc9f
15,9,3,3,2,2,3,3,0,0,0,0,310b1bebd4f2f545718f453648e9a935f1a721e5
15,9,3,3,2,2,3,3,0,0,0,0,53c409c01cd592c7aed509f09b5eab6d6c3863b9
15,9,3,3,2,2,3,3,0,0,0,0,021cffa5cc66514a36dac222a5f4886f22d957a9
15,9,3,3,2,2,3,3,0,0,0,0,be32fecb9145e71f226d406fd2aec3cf942d027a
15,9,3,3,2,2,3,3,0,0,0,0,ed8075272079023540e3f160d498c8979cc13b81
15,9,3,3,2,2,3,3,0,0,0,0,d1bdff383a928d417817609dec78f5d058d2fb7c
15,9,3,3,2,2,3,3,0,0,0,0,4b3e075bc4d98bf743d1f9d6761cb449e811e4b6
15,9,3,3,2,2,3,3,0,0,0,0,9e3ace41ccdf49cf1908670d1a6cabafef8cdbec
15,9,3,3,2,2,3,3,0,0,0,0,058ba417ee875cbaf183cbc5cce5c3a7d10f3dd4
15,9,3,3,2,2,3,3,0,0,0,0,f7066b7310a8ec2210e2eff27cfdf63b72cfa7c9
15,9,3,3,2,2,3,3,0,0,0,0,b99b678e612f7241afce8e97eacb8d3feb86a449
15,9,3,3,2,2,3,3,0,0,0,0,3a035148ef89a8a0b9b0e8d9cfd3f3eec0369fb7
15,9,3,3,2,2,3,3,0,0,0,0,5beca1b1d1bcfcc580abd76199246436aa40a2b1
15,9,3,3,2,2,3,3,0,0,0,0,5205f0f3d57fec32e15ca4e5499c951c318bdfe9
15,9,3,3,2,2,3,3,0,0,0,0,f4c32b1acb32f6d15c826019e1706fb5169a23fd
15,9,3,3,2,2,3,3,0,0,0,0,0c0fdd9de4d3f715772462482d5b93389bb33383
15,9,3,3,2,2,3,3,0,0,0,0,347fa84ac0f2081e43280fab8a1d4d76223d63cf
15,9,3,3,2,2,3,3,0,0,0,0,5c450f7948d0cba5f0990039a11abb22603547fd
15,9,3,3,2,2,3,3,0,0,0,0,dfc97e5c0c70a0dd98634b48fffae6b3ca654d15
15,9,3,3,2,2,3,3,0,0,0,0,fa88ad9a1cd8e131d8e679ddfd67005ca99523eb
15,9,3,3,2,2,3,3,0,0,0,0,43a3604b20ca83c7107471af4f349afb90f95f1f
16,10,3,3,2,2,4,4,0,0,0,0,43994132e2925503ebaf76bef6e454ff2d81bd21
15,9,3,3,2,2,3,3,0,0,0,0,6bc55d3d408afab9dfdd8dde6eb7ac4f585b2df2
16,10,3,3,2,2,4,4,0,0,0,0,91e32b7b2622abaef413469562b9fd7526abd070
15,9,3,3,2,2,3,3,0,0,0,0,d91c7ba96e540491b35e3ad536b84dc11e35d10c
15,9,3,3,2,2,3,3,0,0,0,0,a353ad9120692eb5bca761c2c77961607b3c2275
15,9,3,3,2,2,3,3,0,0,0,0,a47fef5b6bc0df3928cbf5b73b98b26e7a4f04bd
15,9,3,3,2,2,3,3,0,0,0,0,57b1514f36e2fae6c0c66b6f86d41795fa8a09a7
15,9,3,3,2,2,3,3,0,0,0,0,682d72aa3b80a100c2eb9e3415ede5557b79456c
16,10,3,3,2,2,4,4,0,0,0,0,c2e66a89a49d999e50e66f3ef21cdd5a60cb7c76
16,10,3,3,2,2,4,4,0,0,0,0,f09c34a918efc73db329cf0ad288e4b624c7660c
16,10,3,3,2,2,4,4,0,0,0,0,e8d74c9e91737dca25de119bfae1204a82417b43
16,10,3,3,2,2,4,4,0,0,0,0,86d3482fcaa1eb0ed9093793657d68edae4bb704
16,10,3,3,2,2,4,4,0,0,0,0,244935ff1b12603ea333f8e0433048273e4a7a62
16,10,3,3,2,2,4,4,0,0,0,0,33a19397a178ce3d783c11a6ff4594d7aeebf097
16,10,3,3,2,2,4,4,0,0,0,0,be55318a33b567d1d1f3817edf3f2b15efaa8873
16,10,3,3,2,2,4,4,0,0,0,0,64edf09380282056bf7fbe204fe4d8c1378bf3cc
16,10,3,3,2,2,4,4,0,0,0,0,bf57d3aa931b7e84e82b3b95b1567a9000795f80
16,10,3,3,2,2,4,4,0,0,0,0,f93eb9197c50527df7f4d0c22b501b9244628f40
16,10,3,3,2,2,4,4,0,0,0,0,f79e2400f894245c64d7fd2623913d8100048aa7
16,10,3,3,2,2,4,4,0,0,0,0,d1ecdb09ac28b0af33e1e72117c1059e2ed55329
16,10,3,3,2,2,4,4,0,0,0,0,8b3696bcd47e634224b59a8331583f75f161489e
15,9,3,3,2,2,3,3,0,0,0,0,de1f855896b49b1428e58213e20cfc01ee36f195
15,9,3,3,2,2,3,3,0,0,0,0,16d631e57d7356ccc73137f45a450dfee0fc1c92
15,9,3,3,2,2,3,3,0,0,0,0,dde0695e02892741c37d69ff514d8d74e4af92dc
16,10,3,3,2,2,4,4,0,0,0,0,35006e3a35f825b835bd189cee0f782743ecb415
16,10,3,3,2,2,4,4,0,0,0,0,6c57f670018b447881109155948d4cc497aba4b6
16,10,3,3,2,2,4,4,0,0,0,0,b5c442c2887e3827112f8fbdb7de1bada5cc02a1
16,10,3,3,2,2,4,4,0,0,0,0,65a21a4955a963915fb6f8327bb0e6d7a8cf5634
16,10,3,3,2,2,4,4,0,0,0,0,fedcb5ce713e7b59788415462ea6321ded6487c2
16,10,3,3,2,2,4,4,0,0,0,0,5c0128e1b3967ea817937598777d78d07124ce10
16,10,3,3,2,2,4,4,0,0,0,0,f9166ab982f7c12a86f281d55c03da6f54ccc3c9
16,10,3,3,2,2,4,4,0,0,0,0,e79a1f07b1398bdd28e3cc102dba52b68a270a34
16,10,3,3,2,2,4,4,0,0,0,0,974dc3f72b4171a768b54e7833fd446d8c61a49a
16,10,3,3,2,2,4,4,0,0,0,0,2ca08a773e3b7a520fda2137d353df9a15fdf95e
16,10,3,3,2,2,4,4,0,0,0,0,4d57763aae6dc5de6c8103a4207e35d0bd0d66ba
16,10,3,3,2,2,4,4,0,0,0,0,39f63ac4cb3f1739ee5d884d2742861e2073c8be
